vegtype,auc_025_val,auc_100_val,prop_same,tss,tss_ppt_025,tss_ppt_100,tss_pptr_025,tss_pptr_100,prop_same_ppt_025,prop_same_ppt_100,prop_same_pptr_025,prop_same_pptr_100,prop_present_100,prop_present_obs,auc_ppt,auc_ptr,fold
mch,0.84,0.81,0.42,0.53,0.29,0.19,0.41,0.43,0.24,0.17,0.36,0.38,0.11,0.11,0.8,0.79,345
mhw,0.7,0.72,0.42,0.49,0.05,0.01,0.4,0.5,0.13,0.11,0.33,0.4,0.16,0.16,0.73,0.82,345
smc,0.8,0.77,0.47,0.58,0.27,0.34,0.12,0.15,0.24,0.23,0.15,0.18,0.15,0.15,0.81,0.83,345
mch,0.85,0.82,0.33,0.46,0.24,0.1,0.29,0.24,0.19,0.11,0.24,0.2,0.11,0.11,0.8,0.76,346
mhw,0.69,0.73,0.5,0.59,0.26,0.17,0.15,0.25,0.2,0.16,0.17,0.23,0.16,0.16,0.75,0.79,346
smc,0.77,0.74,0.4,0.52,0.25,0.41,0.28,0.49,0.2,0.3,0.26,0.38,0.15,0.15,0.75,0.81,346
mch,0.79,0.74,0.35,0.45,0.2,0.17,0.18,0.01,0.17,0.13,0.17,0.07,0.11,0.11,0.76,0.77,347
mhw,0.72,0.72,0.28,0.32,0.21,0.14,0.27,0.4,0.21,0.16,0.24,0.34,0.16,0.16,0.75,0.77,347
smc,0.77,0.75,0.25,0.31,0.3,0.42,0.29,0.25,0.23,0.31,0.26,0.21,0.15,0.15,0.73,0.82,347
mch,0.84,0.81,0.31,0.42,0.18,0.1,0.35,0.29,0.15,0.11,0.27,0.22,0.11,0.11,0.78,0.79,348
mhw,0.71,0.72,0.26,0.3,0.3,0.11,0.16,0.51,0.24,0.15,0.17,0.42,0.16,0.16,0.74,0.78,348
smc,0.79,0.77,0.18,0.17,0.23,0.33,0.25,0.24,0.18,0.28,0.23,0.22,0.15,0.15,0.77,0.79,348
mch,0.84,0.81,0.41,0.53,0.24,0.15,0.35,0.34,0.18,0.14,0.27,0.25,0.11,0.11,0.79,0.78,349
mhw,0.72,0.73,0.26,0.29,0.26,0.11,0.25,0.45,0.21,0.14,0.23,0.37,0.16,0.16,0.75,0.79,349
smc,0.78,0.76,0.16,0.13,0.21,0.37,0.2,0.1,0.17,0.3,0.22,0.13,0.15,0.15,0.77,0.8,349
mch,0.83,0.81,0.39,0.51,0.28,0.14,0.34,0.18,0.23,0.13,0.29,0.15,0.11,0.11,0.79,0.79,350
mhw,0.73,0.74,0.25,0.26,0.12,0.14,0.25,0.41,0.14,0.14,0.23,0.33,0.16,0.16,0.77,0.79,350
smc,0.78,0.75,0.54,0.69,0.45,0.59,0.42,0.47,0.33,0.43,0.32,0.36,0.15,0.15,0.79,0.81,350
mch,0.84,0.81,0.48,0.65,0.34,0.32,0.52,0.37,0.23,0.22,0.41,0.27,0.11,0.11,0.79,0.79,351
mhw,0.67,0.71,0.28,0.32,0.3,0.18,0.23,0.44,0.22,0.16,0.2,0.35,0.16,0.16,0.74,0.77,351
smc,0.77,0.74,0.5,0.6,0.27,0.54,0.32,0.55,0.26,0.47,0.29,0.47,0.15,0.15,0.79,0.83,351
mch,0.83,0.8,0.57,0.68,0.25,0.21,0.33,0.26,0.2,0.16,0.28,0.23,0.11,0.11,0.78,0.77,352
mhw,0.7,0.73,0.25,0.27,0.36,0.1,0.13,0.49,0.28,0.13,0.16,0.39,0.16,0.16,0.73,0.79,352
smc,0.78,0.75,0.61,0.7,0.36,0.52,0.37,0.39,0.3,0.42,0.31,0.33,0.15,0.15,0.79,0.82,352
mch,0.82,0.81,0.43,0.56,0.28,0.16,0.26,0.15,0.23,0.14,0.25,0.16,0.11,0.11,0.78,0.73,353
mhw,0.72,0.73,0.24,0.27,0.1,0.06,0.28,0.42,0.13,0.12,0.24,0.34,0.16,0.16,0.75,0.79,353
smc,0.78,0.75,0.51,0.64,0.45,0.61,0.37,0.38,0.34,0.43,0.29,0.3,0.15,0.15,0.78,0.81,353
mch,0.83,0.81,0.45,0.58,0.26,0.15,0.31,0.17,0.2,0.13,0.26,0.16,0.11,0.11,0.79,0.77,354
mhw,0.72,0.74,0.26,0.29,0.13,0.08,0.24,0.38,0.15,0.13,0.23,0.33,0.16,0.16,0.73,0.78,354
smc,0.78,0.75,0.68,0.79,0.54,0.59,0.48,0.48,0.4,0.45,0.37,0.38,0.15,0.15,0.79,0.82,354
mch,0.85,0.82,0.41,0.56,0.25,0.13,0.5,0.33,0.22,0.15,0.4,0.28,0.11,0.11,0.78,0.8,355
mhw,0.68,0.7,0.33,0.37,0.29,0.06,0.29,0.44,0.23,0.13,0.25,0.37,0.16,0.16,0.72,0.79,355
smc,0.77,0.74,0.42,0.53,0.57,0.29,0.44,0.43,0.44,0.24,0.36,0.37,0.15,0.15,0.77,0.8,355
mch,0.83,0.81,0.55,0.67,0.29,0.2,0.41,0.33,0.24,0.18,0.39,0.31,0.11,0.11,0.79,0.76,356
mhw,0.69,0.7,0.41,0.5,0.08,0.1,0.3,0.5,0.14,0.14,0.26,0.41,0.16,0.16,0.75,0.78,356
smc,0.78,0.75,0.46,0.6,0.6,0.43,0.51,0.44,0.47,0.33,0.38,0.36,0.15,0.15,0.77,0.81,356
mch,0.84,0.82,0.31,0.42,0.16,0.09,0.44,0.25,0.13,0.11,0.34,0.19,0.11,0.11,0.79,0.79,357
mhw,0.7,0.72,0.24,0.3,0.33,0.1,0.19,0.52,0.26,0.13,0.18,0.43,0.16,0.16,0.74,0.8,357
smc,0.8,0.75,0.18,0.16,0.13,0.46,0.23,0.3,0.15,0.36,0.21,0.26,0.15,0.15,0.79,0.79,357
mch,0.84,0.82,0.64,0.74,0.35,0.27,0.48,0.41,0.25,0.21,0.39,0.34,0.11,0.11,0.8,0.81,358
mhw,0.71,0.73,0.24,0.28,0.18,0.12,0.04,0.28,0.2,0.16,0.12,0.28,0.16,0.16,0.75,0.75,358
smc,0.77,0.75,0.7,0.8,0.62,0.58,0.56,0.55,0.49,0.45,0.47,0.46,0.15,0.15,0.77,0.79,358
mch,0.84,0.81,0.59,0.7,0.36,0.26,0.49,0.36,0.26,0.2,0.41,0.31,0.11,0.11,0.78,0.78,359
mhw,0.7,0.72,0.36,0.44,0.14,0.08,0.37,0.58,0.18,0.14,0.3,0.48,0.16,0.16,0.76,0.8,359
smc,0.76,0.73,0.33,0.43,0.59,0.26,0.54,0.34,0.49,0.24,0.42,0.32,0.15,0.15,0.77,0.79,359
mch,0.83,0.81,0.33,0.43,0.18,0.08,0.31,0.25,0.18,0.1,0.28,0.21,0.11,0.11,0.78,0.77,360
mhw,0.71,0.74,0.25,0.32,0.36,0.16,0.04,0.24,0.27,0.16,0.11,0.23,0.16,0.16,0.75,0.76,360
smc,0.79,0.78,0.25,0.34,0.18,0.47,0.19,0.12,0.17,0.33,0.21,0.14,0.15,0.15,0.78,0.78,360
mch,0.83,0.81,0.58,0.7,0.3,0.22,0.39,0.32,0.24,0.19,0.37,0.3,0.11,0.11,0.78,0.76,361
mhw,0.7,0.71,0.38,0.47,0.12,0.09,0.3,0.55,0.17,0.14,0.25,0.46,0.16,0.16,0.76,0.79,361
smc,0.77,0.74,0.51,0.64,0.59,0.47,0.51,0.47,0.49,0.38,0.38,0.37,0.15,0.15,0.77,0.81,361
mch,0.83,0.81,0.38,0.49,0.3,0.16,0.42,0.3,0.22,0.14,0.32,0.25,0.11,0.11,0.77,0.77,362
mhw,0.71,0.73,0.32,0.35,0.18,0.08,0.24,0.35,0.22,0.14,0.24,0.32,0.16,0.16,0.74,0.78,362
smc,0.79,0.75,0.39,0.43,0.3,0.49,0.1,0.04,0.28,0.39,0.15,0.11,0.15,0.15,0.8,0.83,362
mch,0.84,0.82,0.54,0.66,0.18,0.12,0.4,0.36,0.18,0.14,0.33,0.28,0.11,0.11,0.78,0.78,363
mhw,0.73,0.75,0.28,0.35,0.23,0.13,0.21,0.46,0.19,0.15,0.2,0.37,0.16,0.16,0.77,0.77,363
smc,0.79,0.76,0.48,0.57,0.15,0.33,0.23,0.21,0.15,0.28,0.21,0.21,0.15,0.15,0.79,0.78,363
mch,0.82,0.81,0.31,0.44,0.15,0.11,0.36,0.32,0.15,0.13,0.28,0.22,0.11,0.11,0.75,0.76,364
mhw,0.73,0.73,0.26,0.31,0.25,0.11,0.28,0.44,0.23,0.16,0.25,0.37,0.16,0.16,0.75,0.79,364
smc,0.77,0.76,0.19,0.2,0.32,0.38,0.29,0.14,0.24,0.29,0.26,0.17,0.15,0.15,0.72,0.77,364
mch,0.83,0.81,0.35,0.47,0.15,0.11,0.36,0.31,0.14,0.12,0.28,0.23,0.11,0.11,0.77,0.77,365
mhw,0.72,0.73,0.27,0.33,0.23,0.1,0.2,0.46,0.21,0.15,0.2,0.39,0.16,0.16,0.75,0.79,365
smc,0.78,0.77,0.13,0.1,0.28,0.36,0.27,0.16,0.2,0.29,0.23,0.18,0.15,0.15,0.75,0.78,365
mch,0.85,0.83,0.36,0.5,0.29,0.11,0.45,0.39,0.22,0.12,0.33,0.29,0.11,0.11,0.81,0.79,366
mhw,0.69,0.73,0.53,0.62,0.26,0.16,0.2,0.29,0.21,0.16,0.19,0.25,0.16,0.16,0.75,0.79,366
smc,0.77,0.74,0.45,0.58,0.23,0.41,0.18,0.32,0.2,0.3,0.2,0.27,0.15,0.15,0.77,0.8,366
mch,0.84,0.82,0.42,0.55,0.17,0.1,0.29,0.27,0.18,0.13,0.26,0.23,0.11,0.11,0.77,0.78,367
mhw,0.72,0.76,0.25,0.32,0.23,0.16,0.15,0.37,0.19,0.17,0.16,0.3,0.16,0.16,0.77,0.76,367
smc,0.78,0.76,0.41,0.54,0.19,0.34,0.29,0.24,0.15,0.29,0.25,0.19,0.15,0.15,0.79,0.81,367
mch,0.84,0.82,0.48,0.61,0.17,0.12,0.35,0.35,0.18,0.13,0.29,0.28,0.11,0.11,0.77,0.78,368
mhw,0.72,0.75,0.27,0.35,0.25,0.15,0.17,0.43,0.2,0.16,0.17,0.34,0.16,0.16,0.77,0.77,368
smc,0.79,0.76,0.46,0.57,0.15,0.33,0.27,0.26,0.14,0.28,0.23,0.21,0.15,0.15,0.79,0.82,368
mch,0.82,0.8,0.31,0.39,0.31,0.09,0.43,0.25,0.22,0.09,0.33,0.19,0.11,0.11,0.79,0.79,369
mhw,0.72,0.75,0.26,0.33,0.21,0.15,0.21,0.37,0.21,0.15,0.2,0.33,0.16,0.16,0.75,0.79,369
smc,0.78,0.77,0.27,0.37,0.15,0.55,0.25,0.17,0.16,0.37,0.25,0.15,0.15,0.15,0.78,0.8,369
mch,0.84,0.81,0.42,0.53,0.12,0.12,0.35,0.23,0.13,0.13,0.35,0.23,0.11,0.11,0.75,0.76,370
