vegtype,auc_025_val,auc_100_val,prop_same,tss,tss_ppt_025,tss_ppt_100,tss_pptr_025,tss_pptr_100,prop_same_ppt_025,prop_same_ppt_100,prop_same_pptr_025,prop_same_pptr_100,prop_present_100,prop_present_obs,auc_ppt,auc_ptr,fold
mch,0.83,0.81,0.53,0.65,0.19,0.13,0.37,0.27,0.17,0.13,0.35,0.25,0.11,0.11,0.78,0.78,478
mhw,0.69,0.71,0.38,0.45,0.15,0.04,0.37,0.54,0.19,0.12,0.31,0.46,0.16,0.16,0.75,0.79,478
smc,0.77,0.74,0.45,0.59,0.58,0.38,0.53,0.41,0.49,0.32,0.41,0.35,0.15,0.15,0.76,0.79,478
mch,0.83,0.81,0.36,0.46,0.32,0.18,0.39,0.23,0.23,0.15,0.29,0.19,0.11,0.11,0.78,0.78,479
mhw,0.71,0.73,0.3,0.34,0.18,0.1,0.2,0.3,0.21,0.15,0.21,0.29,0.16,0.16,0.74,0.77,479
smc,0.79,0.75,0.45,0.52,0.41,0.54,0.1,0.08,0.34,0.42,0.17,0.13,0.15,0.15,0.79,0.83,479
mch,0.85,0.82,0.3,0.37,0.12,0.09,0.33,0.29,0.13,0.11,0.28,0.23,0.11,0.11,0.79,0.78,480
mhw,0.7,0.72,0.3,0.37,0.08,0.09,0.3,0.56,0.12,0.11,0.25,0.45,0.16,0.16,0.75,0.8,480
smc,0.8,0.76,0.33,0.42,0.23,0.55,0.2,0.29,0.2,0.43,0.18,0.25,0.15,0.15,0.8,0.79,480
mch,0.85,0.82,0.44,0.58,0.26,0.16,0.49,0.34,0.22,0.15,0.41,0.29,0.11,0.11,0.79,0.8,481
mhw,0.69,0.71,0.34,0.39,0.23,0.05,0.34,0.41,0.2,0.12,0.29,0.35,0.16,0.16,0.71,0.77,481
smc,0.77,0.75,0.37,0.48,0.6,0.28,0.52,0.45,0.45,0.22,0.4,0.38,0.15,0.15,0.79,0.81,481
mch,0.83,0.81,0.42,0.54,0.28,0.14,0.33,0.22,0.23,0.14,0.29,0.21,0.11,0.11,0.79,0.76,482
mhw,0.7,0.73,0.33,0.37,0.4,0.13,0.12,0.41,0.31,0.16,0.16,0.35,0.16,0.16,0.71,0.76,482
smc,0.78,0.75,0.46,0.58,0.35,0.59,0.38,0.44,0.28,0.41,0.3,0.34,0.15,0.15,0.78,0.81,482
mch,0.81,0.78,0.28,0.38,0.16,0.11,0.17,0.18,0.17,0.11,0.18,0.15,0.11,0.11,0.75,0.75,483
mhw,0.72,0.72,0.25,0.28,0.25,0.11,0.3,0.42,0.23,0.16,0.26,0.35,0.16,0.16,0.75,0.78,483
smc,0.77,0.75,0.23,0.27,0.32,0.35,0.31,0.26,0.25,0.27,0.27,0.22,0.15,0.15,0.7,0.76,483
mch,0.84,0.81,0.61,0.72,0.22,0.19,0.31,0.31,0.18,0.16,0.29,0.28,0.11,0.11,0.78,0.78,484
mhw,0.7,0.73,0.23,0.26,0.29,0.15,0.02,0.33,0.24,0.17,0.11,0.29,0.16,0.16,0.74,0.77,484
smc,0.77,0.75,0.66,0.75,0.55,0.59,0.48,0.58,0.45,0.47,0.41,0.48,0.15,0.15,0.77,0.79,484
mch,0.83,0.81,0.3,0.39,0.29,0.11,0.35,0.18,0.22,0.11,0.3,0.17,0.11,0.11,0.8,0.75,485
mhw,0.71,0.75,0.27,0.34,0.44,0.22,0.07,0.28,0.32,0.18,0.12,0.25,0.16,0.16,0.74,0.75,485
smc,0.78,0.77,0.23,0.32,0.16,0.52,0.25,0.31,0.18,0.35,0.25,0.24,0.15,0.15,0.77,0.8,485
mch,0.84,0.81,0.26,0.35,0.16,0.09,0.24,0.19,0.14,0.1,0.22,0.18,0.11,0.11,0.78,0.76,486
mhw,0.67,0.72,0.62,0.72,0.45,0.33,0.23,0.29,0.32,0.26,0.22,0.25,0.16,0.16,0.72,0.76,486
smc,0.77,0.75,0.34,0.46,0.23,0.41,0.25,0.29,0.19,0.29,0.25,0.24,0.15,0.15,0.75,0.8,486
mch,0.85,0.82,0.3,0.39,0.13,0.09,0.41,0.18,0.12,0.1,0.31,0.15,0.11,0.11,0.79,0.79,487
mhw,0.7,0.72,0.28,0.34,0.12,0.07,0.26,0.57,0.14,0.1,0.24,0.46,0.16,0.16,0.75,0.8,487
smc,0.8,0.75,0.25,0.3,0.15,0.5,0.2,0.3,0.16,0.39,0.18,0.25,0.15,0.15,0.8,0.8,487
mch,0.8,0.76,0.34,0.44,0.17,0.08,0.19,0.05,0.17,0.1,0.18,0.09,0.11,0.11,0.77,0.77,488
mhw,0.72,0.72,0.27,0.31,0.21,0.13,0.28,0.4,0.21,0.16,0.25,0.34,0.16,0.16,0.75,0.76,488
smc,0.77,0.75,0.25,0.3,0.32,0.38,0.34,0.28,0.25,0.29,0.29,0.23,0.15,0.15,0.71,0.8,488
mch,0.84,0.81,0.42,0.58,0.32,0.17,0.5,0.25,0.23,0.13,0.37,0.18,0.11,0.11,0.79,0.79,489
mhw,0.68,0.72,0.29,0.33,0.16,0.19,0.28,0.44,0.16,0.18,0.24,0.37,0.16,0.16,0.74,0.77,489
smc,0.77,0.75,0.66,0.76,0.43,0.55,0.42,0.54,0.38,0.47,0.38,0.48,0.15,0.15,0.78,0.83,489
mch,0.83,0.81,0.54,0.66,0.12,0.12,0.34,0.26,0.13,0.12,0.28,0.22,0.11,0.11,0.79,0.79,490
mhw,0.69,0.72,0.31,0.36,0.35,0.17,0.18,0.43,0.29,0.19,0.2,0.36,0.16,0.16,0.71,0.78,490
smc,0.77,0.75,0.66,0.76,0.51,0.46,0.4,0.4,0.41,0.37,0.35,0.35,0.15,0.15,0.79,0.81,490
mch,0.83,0.81,0.43,0.54,0.08,0.08,0.41,0.28,0.11,0.11,0.37,0.23,0.11,0.11,0.76,0.76,491
mhw,0.7,0.71,0.36,0.43,0.1,0.12,0.26,0.53,0.13,0.14,0.25,0.45,0.16,0.16,0.77,0.79,491
smc,0.77,0.74,0.63,0.73,0.57,0.6,0.33,0.35,0.43,0.47,0.28,0.3,0.15,0.15,0.79,0.84,491
mch,0.85,0.82,0.48,0.6,0.4,0.26,0.56,0.35,0.28,0.2,0.45,0.3,0.11,0.11,0.81,0.8,492
mhw,0.7,0.71,0.33,0.39,0.22,0.03,0.3,0.36,0.2,0.11,0.25,0.31,0.16,0.16,0.73,0.77,492
smc,0.76,0.75,0.35,0.44,0.6,0.25,0.52,0.44,0.46,0.21,0.41,0.37,0.15,0.15,0.78,0.8,492
mch,0.83,0.82,0.38,0.49,0.16,0.12,0.43,0.32,0.15,0.12,0.33,0.23,0.11,0.11,0.77,0.78,493
mhw,0.72,0.73,0.28,0.35,0.22,0.09,0.21,0.49,0.2,0.14,0.2,0.39,0.16,0.16,0.76,0.8,493
smc,0.79,0.77,0.18,0.17,0.23,0.43,0.32,0.2,0.18,0.34,0.26,0.21,0.15,0.15,0.77,0.79,493
mch,0.83,0.8,0.23,0.29,0.21,0.06,0.35,0.16,0.17,0.08,0.3,0.15,0.11,0.11,0.79,0.78,494
mhw,0.69,0.73,0.5,0.6,0.46,0.29,0.17,0.28,0.34,0.24,0.18,0.25,0.16,0.16,0.72,0.75,494
smc,0.78,0.76,0.28,0.38,0.21,0.48,0.24,0.28,0.18,0.33,0.24,0.24,0.15,0.15,0.76,0.8,494
mch,0.85,0.82,0.45,0.57,0.3,0.2,0.43,0.42,0.24,0.17,0.38,0.36,0.11,0.11,0.81,0.79,495
mhw,0.69,0.71,0.44,0.5,0.14,0.02,0.41,0.46,0.17,0.11,0.34,0.37,0.16,0.16,0.72,0.8,495
smc,0.79,0.76,0.43,0.56,0.4,0.28,0.15,0.24,0.29,0.19,0.15,0.23,0.15,0.15,0.81,0.83,495
mch,0.84,0.82,0.41,0.53,0.15,0.1,0.39,0.3,0.14,0.12,0.3,0.22,0.11,0.11,0.77,0.78,496
mhw,0.73,0.72,0.3,0.37,0.21,0.07,0.28,0.52,0.2,0.14,0.24,0.42,0.16,0.16,0.76,0.8,496
smc,0.79,0.77,0.19,0.2,0.2,0.49,0.3,0.24,0.17,0.39,0.25,0.23,0.15,0.15,0.77,0.81,496
mch,0.84,0.81,0.45,0.57,0.14,0.13,0.4,0.28,0.14,0.13,0.38,0.26,0.11,0.11,0.76,0.76,497
mhw,0.68,0.7,0.42,0.51,0.2,0.06,0.37,0.47,0.19,0.14,0.31,0.39,0.16,0.16,0.71,0.75,497
smc,0.77,0.74,0.49,0.62,0.6,0.42,0.48,0.42,0.47,0.33,0.39,0.36,0.15,0.15,0.76,0.79,497
mch,0.83,0.81,0.4,0.51,0.25,0.12,0.35,0.19,0.21,0.13,0.3,0.19,0.11,0.11,0.79,0.77,498
mhw,0.68,0.72,0.52,0.6,0.35,0.2,0.22,0.37,0.3,0.21,0.23,0.33,0.16,0.16,0.7,0.76,498
smc,0.78,0.75,0.48,0.59,0.28,0.51,0.32,0.37,0.24,0.36,0.27,0.31,0.15,0.15,0.78,0.81,498
mch,0.84,0.82,0.45,0.58,0.29,0.16,0.43,0.28,0.22,0.15,0.36,0.25,0.11,0.11,0.79,0.78,499
mhw,0.69,0.72,0.27,0.32,0.23,0.14,0.19,0.37,0.21,0.17,0.19,0.33,0.16,0.16,0.73,0.77,499
smc,0.77,0.74,0.66,0.75,0.54,0.6,0.45,0.57,0.43,0.48,0.39,0.47,0.15,0.15,0.77,0.8,499
mch,0.83,0.81,0.43,0.56,0.19,0.14,0.24,0.15,0.16,0.13,0.22,0.16,0.11,0.11,0.8,0.78,500
mhw,0.68,0.72,0.48,0.57,0.37,0.24,0.27,0.42,0.3,0.23,0.25,0.35,0.16,0.16,0.71,0.78,500
smc,0.78,0.75,0.54,0.63,0.26,0.45,0.24,0.31,0.23,0.33,0.23,0.28,0.15,0.15,0.79,0.81,500
mch,0.84,0.82,0.4,0.51,0.04,0.08,0.39,0.29,0.1,0.11,0.35,0.23,0.11,0.11,0.75,0.77,501
mhw,0.7,0.71,0.41,0.5,0.14,0.11,0.36,0.51,0.15,0.16,0.3,0.43,0.16,0.16,0.76,0.79,501
smc,0.78,0.75,0.59,0.72,0.55,0.52,0.32,0.33,0.4,0.4,0.27,0.28,0.15,0.15,0.79,0.83,501
mch,0.84,0.81,0.31,0.41,0.17,0.07,0.24,0.22,0.17,0.1,0.24,0.2,0.11,0.11,0.78,0.76,502
mhw,0.71,0.75,0.25,0.31,0.36,0.17,-0,0.19,0.27,0.16,0.09,0.2,0.16,0.16,0.75,0.73,502
smc,0.78,0.76,0.23,0.29,0.25,0.37,0.23,0.25,0.23,0.27,0.24,0.21,0.15,0.15,0.73,0.8,502
mch,0.83,0.81,0.33,0.45,0.16,0.15,0.19,0.26,0.17,0.14,0.2,0.2,0.11,0.11,0.75,0.74,503
mhw,0.73,0.73,0.24,0.3,0.22,0.13,0.27,0.41,0.19,0.16,0.22,0.34,0.16,0.16,0.75,0.78,503
smc,0.76,0.73,0.31,0.41,0.33,0.36,0.37,0.33,0.26,0.27,0.31,0.28,0.15,0.15,0.7,0.75,503
mch,0.84,0.82,0.55,0.67,0.17,0.11,0.4,0.4,0.17,0.13,0.33,0.31,0.11,0.11,0.78,0.78,504
mhw,0.73,0.74,0.31,0.38,0.25,0.11,0.22,0.52,0.2,0.14,0.22,0.42,0.16,0.16,0.76,0.78,504
smc,0.79,0.76,0.47,0.57,0.21,0.29,0.23,0.34,0.19,0.24,0.2,0.28,0.15,0.15,0.79,0.82,504
mch,0.82,0.79,0.3,0.41,0.19,0.05,0.25,0.07,0.17,0.09,0.22,0.09,0.11,0.11,0.78,0.79,505
mhw,0.71,0.73,0.26,0.31,0.15,0.15,0.25,0.39,0.17,0.16,0.22,0.33,0.16,0.16,0.75,0.77,505
smc,0.77,0.75,0.32,0.4,0.35,0.43,0.43,0.37,0.25,0.31,0.33,0.28,0.15,0.15,0.73,0.8,505
mch,0.84,0.82,0.49,0.63,0.17,0.11,0.35,0.33,0.17,0.13,0.3,0.27,0.11,0.11,0.78,0.78,506
mhw,0.73,0.75,0.27,0.35,0.22,0.16,0.2,0.45,0.18,0.17,0.19,0.36,0.16,0.16,0.77,0.77,506
smc,0.79,0.76,0.47,0.58,0.15,0.33,0.26,0.27,0.14,0.28,0.22,0.22,0.15,0.15,0.79,0.82,506
mch,0.83,0.81,0.4,0.52,0.14,0.13,0.34,0.34,0.14,0.13,0.26,0.25,0.11,0.11,0.78,0.78,507
mhw,0.71,0.73,0.25,0.28,0.28,0.13,0.31,0.46,0.23,0.14,0.26,0.37,0.16,0.16,0.74,0.8,507
smc,0.78,0.76,0.17,0.17,0.2,0.39,0.22,0.15,0.17,0.31,0.23,0.16,0.15,0.15,0.77,0.81,507
mch,0.84,0.82,0.47,0.58,0.34,0.19,0.4,0.23,0.24,0.17,0.35,0.22,0.11,0.11,0.77,0.76,508
mhw,0.7,0.72,0.36,0.4,0.19,0.12,0.35,0.58,0.19,0.15,0.31,0.48,0.16,0.16,0.75,0.79,508
smc,0.77,0.74,0.49,0.62,0.51,0.41,0.51,0.44,0.44,0.36,0.4,0.39,0.15,0.15,0.78,0.81,508
mch,0.83,0.81,0.43,0.54,0.27,0.14,0.32,0.2,0.22,0.14,0.29,0.2,0.11,0.11,0.79,0.76,509
mhw,0.69,0.72,0.39,0.45,0.37,0.15,0.19,0.44,0.31,0.18,0.21,0.37,0.16,0.16,0.7,0.76,509
smc,0.78,0.75,0.5,0.62,0.36,0.57,0.41,0.45,0.28,0.41,0.33,0.36,0.15,0.15,0.78,0.81,509
mch,0.84,0.82,0.48,0.59,0.34,0.21,0.44,0.29,0.26,0.18,0.35,0.25,0.11,0.11,0.79,0.8,510
mhw,0.7,0.73,0.27,0.32,0.17,0.12,0.14,0.3,0.2,0.16,0.17,0.29,0.16,0.16,0.74,0.77,510
smc,0.78,0.74,0.56,0.63,0.49,0.62,0.24,0.27,0.4,0.49,0.25,0.25,0.15,0.15,0.78,0.82,510
mch,0.84,0.81,0.28,0.37,0.14,0.08,0.38,0.08,0.12,0.09,0.28,0.1,0.11,0.11,0.79,0.77,511
mhw,0.7,0.72,0.25,0.3,0.17,0.05,0.18,0.47,0.18,0.1,0.19,0.39,0.16,0.16,0.73,0.78,511
smc,0.79,0.74,0.31,0.4,0.24,0.48,0.21,0.32,0.2,0.38,0.19,0.27,0.15,0.15,0.8,0.79,511
mch,0.81,0.8,0.33,0.45,0.17,0.09,0.3,0.23,0.16,0.11,0.24,0.16,0.11,0.11,0.75,0.76,512
mhw,0.72,0.73,0.25,0.29,0.26,0.11,0.32,0.44,0.24,0.15,0.28,0.37,0.16,0.16,0.75,0.78,512
smc,0.77,0.76,0.23,0.26,0.31,0.36,0.31,0.16,0.24,0.29,0.28,0.17,0.15,0.15,0.71,0.78,512
mch,0.84,0.82,0.42,0.55,0.15,0.09,0.23,0.24,0.17,0.12,0.22,0.22,0.11,0.11,0.77,0.77,513
mhw,0.72,0.75,0.24,0.31,0.25,0.15,0.12,0.37,0.2,0.17,0.14,0.3,0.16,0.16,0.77,0.76,513
smc,0.78,0.76,0.39,0.51,0.21,0.36,0.3,0.27,0.16,0.3,0.25,0.21,0.15,0.15,0.78,0.82,513
mch,0.83,0.82,0.43,0.56,0.14,0.1,0.4,0.32,0.14,0.12,0.31,0.24,0.11,0.11,0.76,0.77,514
mhw,0.73,0.72,0.28,0.34,0.23,0.07,0.29,0.49,0.21,0.14,0.25,0.4,0.16,0.16,0.76,0.79,514
smc,0.78,0.77,0.18,0.18,0.23,0.45,0.3,0.23,0.18,0.35,0.26,0.22,0.15,0.15,0.76,0.8,514
mch,0.83,0.8,0.56,0.67,0.25,0.21,0.29,0.24,0.2,0.17,0.26,0.21,0.11,0.11,0.78,0.76,515
mhw,0.7,0.73,0.25,0.28,0.38,0.15,0.15,0.53,0.3,0.16,0.18,0.42,0.16,0.16,0.73,0.79,515
smc,0.78,0.75,0.51,0.61,0.33,0.53,0.25,0.3,0.27,0.42,0.24,0.27,0.15,0.15,0.79,0.83,515
mch,0.83,0.81,0.45,0.58,0.08,0.1,0.22,0.15,0.1,0.11,0.21,0.16,0.11,0.11,0.79,0.78,516
mhw,0.69,0.72,0.42,0.5,0.35,0.23,0.21,0.4,0.3,0.23,0.21,0.33,0.16,0.16,0.71,0.79,516
smc,0.77,0.75,0.56,0.65,0.49,0.39,0.4,0.47,0.39,0.33,0.35,0.39,0.15,0.15,0.79,0.81,516
mch,0.84,0.82,0.52,0.64,0.14,0.1,0.34,0.25,0.15,0.12,0.33,0.24,0.11,0.11,0.78,0.77,517
mhw,0.69,0.71,0.38,0.45,0.15,0.06,0.36,0.57,0.18,0.12,0.3,0.47,0.16,0.16,0.75,0.79,517
smc,0.76,0.74,0.46,0.6,0.6,0.4,0.57,0.44,0.5,0.33,0.44,0.38,0.15,0.15,0.76,0.77,517
mch,0.84,0.82,0.34,0.45,0.18,0.11,0.45,0.31,0.15,0.12,0.35,0.23,0.11,0.11,0.78,0.79,518
mhw,0.71,0.73,0.25,0.3,0.32,0.1,0.15,0.49,0.25,0.14,0.17,0.4,0.16,0.16,0.74,0.78,518
smc,0.8,0.77,0.17,0.14,0.2,0.42,0.26,0.29,0.17,0.33,0.22,0.25,0.15,0.15,0.78,0.78,518
mch,0.84,0.82,0.48,0.58,0.11,0.08,0.28,0.2,0.13,0.11,0.29,0.21,0.11,0.11,0.78,0.76,519
mhw,0.69,0.71,0.37,0.43,0.19,0.08,0.33,0.59,0.19,0.13,0.29,0.5,0.16,0.16,0.74,0.78,519
smc,0.75,0.73,0.5,0.63,0.61,0.44,0.55,0.5,0.51,0.36,0.45,0.43,0.15,0.15,0.75,0.79,519
mch,0.85,0.82,0.48,0.59,0.35,0.23,0.48,0.34,0.26,0.18,0.37,0.27,0.11,0.11,0.79,0.8,520
mhw,0.71,0.73,0.27,0.32,0.14,0.11,0.11,0.3,0.19,0.16,0.15,0.3,0.16,0.16,0.75,0.78,520
smc,0.78,0.75,0.49,0.56,0.46,0.56,0.16,0.12,0.37,0.44,0.21,0.16,0.15,0.15,0.78,0.83,520
mch,0.82,0.81,0.39,0.52,0.15,0.11,0.29,0.33,0.14,0.12,0.23,0.24,0.11,0.11,0.77,0.77,521
mhw,0.7,0.73,0.28,0.3,0.29,0.15,0.26,0.47,0.24,0.16,0.25,0.38,0.16,0.16,0.73,0.79,521
smc,0.78,0.76,0.21,0.28,0.18,0.44,0.3,0.17,0.15,0.36,0.27,0.18,0.15,0.15,0.77,0.82,521
mch,0.84,0.82,0.45,0.59,0.22,0.15,0.36,0.3,0.17,0.13,0.29,0.25,0.11,0.11,0.79,0.79,522
mhw,0.66,0.71,0.34,0.43,0.33,0.2,0.16,0.3,0.24,0.18,0.17,0.26,0.16,0.16,0.73,0.76,522
smc,0.77,0.75,0.48,0.57,0.28,0.55,0.33,0.59,0.26,0.47,0.31,0.53,0.15,0.15,0.79,0.83,522
mch,0.85,0.82,0.49,0.6,0.37,0.24,0.55,0.44,0.27,0.19,0.43,0.34,0.11,0.11,0.8,0.81,523
mhw,0.71,0.73,0.3,0.36,0.09,0.03,0.2,0.31,0.16,0.11,0.19,0.28,0.16,0.16,0.75,0.77,523
smc,0.78,0.75,0.36,0.45,0.59,0.29,0.31,0.37,0.45,0.23,0.27,0.3,0.15,0.15,0.79,0.82,523
mch,0.83,0.81,0.4,0.52,0.05,0.09,0.38,0.25,0.1,0.11,0.33,0.2,0.11,0.11,0.76,0.77,524
mhw,0.7,0.72,0.35,0.41,0.18,0.11,0.27,0.52,0.18,0.13,0.26,0.45,0.16,0.16,0.76,0.8,524
smc,0.77,0.74,0.48,0.59,0.41,0.61,0.23,0.29,0.3,0.48,0.21,0.24,0.15,0.15,0.79,0.84,524
mch,0.83,0.81,0.29,0.4,0.29,0.15,0.36,0.11,0.23,0.13,0.32,0.11,0.11,0.11,0.77,0.76,525
mhw,0.73,0.73,0.24,0.3,0.07,0.13,0.25,0.41,0.12,0.16,0.22,0.34,0.16,0.16,0.77,0.79,525
smc,0.78,0.76,0.4,0.51,0.27,0.6,0.36,0.44,0.22,0.43,0.28,0.34,0.15,0.15,0.79,0.82,525
mch,0.84,0.82,0.43,0.56,0.32,0.18,0.41,0.24,0.23,0.15,0.32,0.2,0.11,0.11,0.79,0.77,526
mhw,0.7,0.73,0.26,0.3,0.21,0.15,0.26,0.35,0.2,0.17,0.23,0.32,0.16,0.16,0.74,0.76,526
smc,0.77,0.74,0.58,0.67,0.47,0.6,0.29,0.36,0.39,0.49,0.28,0.31,0.15,0.15,0.78,0.81,526
mch,0.84,0.81,0.32,0.41,0.18,0.13,0.34,0.1,0.15,0.12,0.27,0.12,0.11,0.11,0.8,0.77,527
mhw,0.69,0.72,0.28,0.31,0.18,0.01,0.22,0.45,0.2,0.09,0.22,0.38,0.16,0.16,0.72,0.77,527
smc,0.77,0.73,0.53,0.66,0.39,0.51,0.27,0.34,0.29,0.39,0.24,0.29,0.15,0.15,0.8,0.81,527
mch,0.84,0.82,0.37,0.48,0.21,0.15,0.32,0.12,0.18,0.13,0.29,0.13,0.11,0.11,0.79,0.77,528
mhw,0.72,0.73,0.2,0.23,0.03,0.09,0.18,0.45,0.11,0.12,0.19,0.35,0.16,0.16,0.76,0.79,528
smc,0.78,0.76,0.45,0.58,0.29,0.59,0.31,0.4,0.22,0.43,0.26,0.33,0.15,0.15,0.79,0.81,528
mch,0.84,0.81,0.41,0.52,0.3,0.2,0.4,0.4,0.24,0.17,0.33,0.33,0.11,0.11,0.78,0.78,529
mhw,0.7,0.72,0.46,0.52,0.08,-0.01,0.39,0.41,0.16,0.11,0.32,0.34,0.16,0.16,0.75,0.8,529
smc,0.8,0.77,0.45,0.56,0.32,0.29,0.09,0.16,0.27,0.21,0.14,0.19,0.15,0.15,0.81,0.82,529
mch,0.84,0.82,0.48,0.6,0.3,0.17,0.43,0.28,0.23,0.16,0.35,0.25,0.11,0.11,0.79,0.8,530
mhw,0.7,0.72,0.28,0.33,0.2,0.14,0.17,0.31,0.2,0.17,0.18,0.3,0.16,0.16,0.74,0.76,530
smc,0.77,0.74,0.63,0.72,0.52,0.6,0.39,0.5,0.42,0.48,0.35,0.41,0.15,0.15,0.77,0.81,530
mch,0.84,0.82,0.53,0.66,0.16,0.11,0.36,0.37,0.17,0.13,0.3,0.29,0.11,0.11,0.78,0.78,531
mhw,0.73,0.75,0.29,0.38,0.25,0.14,0.22,0.47,0.2,0.17,0.2,0.38,0.16,0.16,0.76,0.78,531
smc,0.79,0.76,0.46,0.56,0.16,0.35,0.25,0.26,0.15,0.3,0.22,0.22,0.15,0.15,0.79,0.82,531
mch,0.83,0.81,0.36,0.47,0.28,0.11,0.33,0.12,0.21,0.11,0.26,0.13,0.11,0.11,0.78,0.77,532
mhw,0.7,0.72,0.25,0.26,0.22,0.16,0.25,0.38,0.21,0.18,0.23,0.35,0.16,0.16,0.74,0.76,532
smc,0.78,0.74,0.59,0.68,0.45,0.58,0.27,0.3,0.37,0.48,0.26,0.27,0.15,0.15,0.78,0.82,532
mch,0.83,0.81,0.38,0.48,0.32,0.18,0.42,0.23,0.23,0.15,0.31,0.19,0.11,0.11,0.79,0.79,533
mhw,0.71,0.73,0.29,0.33,0.19,0.11,0.2,0.32,0.22,0.16,0.22,0.31,0.16,0.16,0.74,0.77,533
smc,0.78,0.75,0.49,0.56,0.42,0.56,0.11,0.09,0.35,0.44,0.17,0.14,0.15,0.15,0.79,0.83,533
mch,0.84,0.82,0.39,0.55,0.07,0.1,0.3,0.31,0.1,0.12,0.25,0.25,0.11,0.11,0.76,0.78,534
mhw,0.68,0.71,0.28,0.34,0.39,0.22,0.22,0.53,0.3,0.19,0.21,0.44,0.16,0.16,0.73,0.77,534
smc,0.77,0.75,0.27,0.3,0.1,0.5,0.27,0.24,0.14,0.43,0.23,0.22,0.15,0.15,0.8,0.84,534
mch,0.84,0.81,0.43,0.58,0.34,0.19,0.45,0.23,0.24,0.15,0.35,0.18,0.11,0.11,0.79,0.79,535
mhw,0.7,0.72,0.24,0.25,0.2,0.2,0.28,0.46,0.19,0.2,0.25,0.39,0.16,0.16,0.75,0.79,535
smc,0.76,0.74,0.7,0.81,0.52,0.55,0.44,0.48,0.44,0.46,0.38,0.43,0.15,0.15,0.77,0.75,535
mch,0.85,0.82,0.58,0.69,0.37,0.32,0.55,0.43,0.28,0.25,0.42,0.35,0.11,0.11,0.8,0.82,536
mhw,0.71,0.73,0.31,0.36,0.1,0.02,0.24,0.34,0.16,0.11,0.21,0.3,0.16,0.16,0.76,0.78,536
smc,0.79,0.76,0.35,0.44,0.41,0.28,0.15,0.28,0.32,0.21,0.17,0.24,0.15,0.15,0.8,0.83,536
mch,0.86,0.82,0.3,0.41,0.18,0.07,0.35,0.17,0.16,0.09,0.29,0.16,0.11,0.11,0.77,0.77,537
mhw,0.71,0.72,0.27,0.28,0.09,0.15,0.17,0.44,0.12,0.15,0.18,0.35,0.16,0.16,0.77,0.79,537
smc,0.78,0.74,0.51,0.62,0.44,0.42,0.27,0.35,0.32,0.33,0.24,0.29,0.15,0.15,0.79,0.82,537
mch,0.84,0.82,0.45,0.6,0.24,0.16,0.35,0.23,0.18,0.14,0.31,0.21,0.11,0.11,0.78,0.76,538
mhw,0.67,0.71,0.28,0.3,0.42,0.18,0.26,0.54,0.32,0.18,0.23,0.44,0.16,0.16,0.73,0.78,538
smc,0.76,0.73,0.6,0.69,0.35,0.52,0.33,0.38,0.32,0.44,0.28,0.33,0.15,0.15,0.78,0.82,538
mch,0.82,0.8,0.5,0.63,0.25,0.17,0.37,0.26,0.2,0.15,0.3,0.22,0.11,0.11,0.78,0.77,539
mhw,0.72,0.73,0.26,0.3,0.12,0.03,0.33,0.47,0.15,0.1,0.27,0.38,0.16,0.16,0.73,0.8,539
smc,0.78,0.75,0.68,0.78,0.5,0.56,0.45,0.46,0.37,0.42,0.36,0.37,0.15,0.15,0.78,0.82,539
mch,0.83,0.81,0.46,0.58,0.16,0.1,0.34,0.34,0.14,0.11,0.27,0.27,0.11,0.11,0.77,0.78,540
mhw,0.69,0.72,0.27,0.31,0.36,0.18,0.16,0.47,0.29,0.18,0.19,0.38,0.16,0.16,0.73,0.8,540
smc,0.78,0.76,0.21,0.22,0.17,0.51,0.27,0.26,0.16,0.43,0.25,0.24,0.15,0.15,0.79,0.84,540
mch,0.82,0.8,0.3,0.39,0.29,0.08,0.37,0.16,0.22,0.1,0.31,0.15,0.11,0.11,0.79,0.79,541
mhw,0.72,0.75,0.24,0.28,0.22,0.13,0.13,0.34,0.22,0.15,0.17,0.31,0.16,0.16,0.74,0.79,541
smc,0.79,0.77,0.29,0.39,0.14,0.51,0.24,0.12,0.15,0.34,0.24,0.13,0.15,0.15,0.78,0.8,541
mch,0.84,0.81,0.45,0.57,0.18,0.15,0.46,0.31,0.16,0.15,0.42,0.28,0.11,0.11,0.77,0.78,542
mhw,0.67,0.7,0.44,0.52,0.21,0.03,0.33,0.43,0.19,0.12,0.29,0.35,0.16,0.16,0.71,0.77,542
smc,0.78,0.75,0.45,0.59,0.59,0.38,0.46,0.45,0.45,0.28,0.36,0.36,0.15,0.15,0.76,0.79,542
mch,0.84,0.82,0.46,0.59,0.26,0.15,0.47,0.32,0.2,0.14,0.38,0.27,0.11,0.11,0.79,0.79,543
mhw,0.69,0.73,0.24,0.28,0.28,0.15,0.12,0.32,0.23,0.17,0.15,0.29,0.16,0.16,0.74,0.76,543
smc,0.77,0.74,0.65,0.73,0.49,0.58,0.44,0.57,0.41,0.47,0.4,0.49,0.15,0.15,0.77,0.81,543
mch,0.82,0.8,0.27,0.39,0.14,0.12,0.19,0.24,0.16,0.13,0.19,0.18,0.11,0.11,0.75,0.74,544
